dominant_peer_ratio,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
0.85,11,engagement_g00_d0.25,3002,1649,0.549300,109.815519,49.493803,51.493803,51.493803,0.000000,0.000000
0.85,11,engagement_g00_d0.5,3002,1593,0.530646,109.953556,51.607115,53.607115,53.607115,0.000000,0.000000
0.85,11,engagement_g00_d1.0,3002,1470,0.489674,109.999398,56.135602,58.135602,58.135602,0.000000,0.000000
0.85,11,engagement_g00_d2.0,3002,1213,0.404064,110.157209,65.646651,67.646651,67.646651,0.000000,0.000000
0.85,11,engagement_g00_d5.0,3002,471,0.156895,110.827322,93.439025,95.439025,95.439025,0.000000,0.000000
0.85,11,engagement_g00_d10.0,3002,32,0.010660,100.570920,99.498878,101.498878,101.498878,0.000000,0.000000
0.85,11,engagement_g05_d0.0,3002,1800,0.599600,109.576376,43.874352,45.874352,45.874352,0.000000,0.000000
0.85,11,engagement_g05_d0.25,3002,1645,0.547968,109.830019,49.646681,51.646681,51.646681,0.000000,0.000000
0.85,11,engagement_g05_d0.5,3002,1590,0.529647,110.120575,51.795553,53.795553,53.795553,0.000000,0.000000
0.85,11,engagement_g05_d1.0,3002,1469,0.489340,110.068110,56.207332,58.207332,58.207332,0.000000,0.000000
0.85,11,engagement_g05_d2.0,3002,1213,0.404064,110.157209,65.646651,67.646651,67.646651,0.000000,0.000000
0.85,11,engagement_g05_d5.0,3002,471,0.156895,110.827322,93.439025,95.439025,95.439025,0.000000,0.000000
0.85,11,engagement_g05_d10.0,3002,30,0.009993,99.878075,98.879960,100.879960,100.879960,0.000000,0.000000
0.85,11,oracle_a1,3002,2372,0.790140,39.006408,8.185888,10.185888,10.185888,0.000000,0.000000
0.85,12,static,3026,150,0.049570,101.928454,96.875820,98.875820,98.875820,0.000000,0.000000
0.85,12,nearest,3026,135,0.044613,116.328114,111.138327,113.138327,113.138327,0.000000,0.000000
0.85,12,naive_target_aware,3026,1875,0.619630,105.938211,40.295731,42.295731,42.295731,0.000000,0.000000
0.85,12,engagement_g00_d0.0,3026,1875,0.619630,105.938211,40.295731,42.295731,42.295731,0.000000,0.000000
0.85,12,engagement_g00_d0.25,3026,1669,0.551553,104.571466,46.894739,48.894739,48.894739,0.000000,0.000000
0.85,12,engagement_g00_d0.5,3026,1608,0.531395,104.970025,49.189523,51.189523,51.189523,0.000000,0.000000
0.85,12,engagement_g00_d1.0,3026,1480,0.489095,105.074385,53.683080,55.683080,55.683080,0.000000,0.000000
0.85,12,engagement_g00_d2.0,3026,1207,0.398876,105.401914,63.359578,65.359578,65.359578,0.000000,0.000000
0.85,12,engagement_g00_d5.0,3026,480,0.158625,105.933579,89.129839,91.129839,91.129839,0.000000,0.000000
0.85,12,engagement_g00_d10.0,3026,21,0.006940,94.228104,93.574175,95.574175,95.574175,0.000000,0.000000
