dominant_peer_ratio,seed,total_requests,oracle_mean_latency_ms,online_mean_latency_ms,agree_oracle_demand_count,agree_oracle_demand_rate,agree_oracle_median_count,agree_oracle_median_rate,agree_demand_median_count,agree_demand_median_rate,oracle_self_service_count,oracle_self_service_rate,total_latency_advantage_ms,self_service_advantage_ms,remote_advantage_ms,self_service_advantage_fraction
0.5,29,3063,20.802722,67.215384,1134,0.370225,1334,0.435521,1295,0.422788,1270,0.414626,142161.985352,44615.160679,97546.824673,0.313833
0.5,30,2933,26.617682,75.843706,1169,0.398568,1300,0.443232,1381,0.470849,1336,0.455506,144379.926539,58116.669395,86263.257144,0.402526
0.4,1,3072,23.049935,70.454643,984,0.320312,1063,0.346029,1002,0.326172,1214,0.395182,145627.262718,50650.029990,94977.232728,0.347806
0.4,2,3076,25.340160,78.250513,889,0.289012,1079,0.350780,962,0.312744,1097,0.356632,162752.245889,48787.191729,113965.054160,0.299764
0.4,3,2993,25.800442,77.850162,873,0.291681,1001,0.334447,1019,0.340461,1105,0.369195,155784.810691,55480.871486,100303.939205,0.356138
0.4,4,2947,22.300706,80.391788,774,0.262640,849,0.288090,829,0.281303,1063,0.360706,171194.417726,55743.360322,115451.057404,0.325614
0.4,5,2961,24.839670,79.768313,843,0.284701,852,0.287741,820,0.276933,1097,0.370483,162643.712685,56859.383941,105784.328744,0.349595
0.4,6,2952,23.334025,77.684477,802,0.271680,1070,0.362466,873,0.295732,984,0.333333,160442.533440,45734.091310,114708.442130,0.285050
0.4,7,2971,29.492219,84.065989,784,0.263884,979,0.329519,1049,0.353080,1107,0.372602,162138.669430,65590.978545,96547.690885,0.404536
0.4,8,2983,24.403780,75.300734,833,0.279249,1085,0.363728,859,0.287965,1057,0.354341,151825.615256,47653.325134,104172.290122,0.313869
0.4,9,2932,24.997821,77.566072,895,0.305252,928,0.316508,978,0.333561,1086,0.370396,154130.112004,51779.179583,102350.932421,0.335945
0.4,10,3006,26.008225,77.804733,891,0.296407,1049,0.348969,789,0.262475,1189,0.395542,155700.303322,58865.174309,96835.129013,0.378067
0.4,11,3002,24.038235,79.961752,821,0.273484,1082,0.360426,937,0.312125,1057,0.352099,167882.397386,54776.740311,113105.657075,0.326280
0.4,12,3026,23.162708,78.103179,783,0.258757,937,0.309650,732,0.241904,1034,0.341705,166249.864840,49118.225657,117131.639183,0.295448
0.4,13,3014,24.181244,75.663979,899,0.298275,987,0.327472,935,0.310219,1138,0.377571,155168.962655,52923.156439,102245.806216,0.341068
0.4,14,3050,27.423556,81.054378,915,0.300000,950,0.311475,1101,0.360984,1143,0.374754,163574.006652,56739.356458,106834.650194,0.346873
0.4,15,3022,25.861818,82.116988,824,0.272667,909,0.300794,697,0.230642,1141,0.377565,170003.122083,62263.545994,107739.576089,0.366249
