dominant_peer_ratio,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
0.5,engagement_g00_d2.0,3002.400000,53.895557,696.066667,25.037810,0.231821,0.006662,105.149585,4.760488,80.777586,3.798629,82.777586,3.798629,82.777586,3.798629,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g00_d5.0,3002.400000,53.895557,297.500000,19.249272,0.099044,0.005338,105.488264,5.639838,95.048468,5.258336,97.048468,5.258336,97.048468,5.258336,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d0.0,3002.400000,53.895557,766.833333,36.111975,0.255330,0.009065,105.411614,4.739352,78.496193,3.613529,80.496193,3.613529,80.496193,3.613529,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d0.25,3002.400000,53.895557,751.633333,36.403375,0.250265,0.009211,105.417230,4.764216,79.036542,3.705951,81.036542,3.705951,81.036542,3.705951,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d0.5,3002.400000,53.895557,738.533333,34.565015,0.245910,0.008723,105.336604,4.858846,79.434582,3.779299,81.434582,3.779299,81.434582,3.779299,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d1.0,3002.400000,53.895557,700.900000,33.030133,0.233381,0.008418,105.291748,4.865867,80.720813,3.852541,82.720813,3.852541,82.720813,3.852541,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d10.0,3002.400000,53.895557,106.733333,17.694599,0.035530,0.005761,104.780556,4.725831,101.059409,4.630906,103.059409,4.630906,103.059409,4.630906,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d2.0,3002.400000,53.895557,598.066667,29.726261,0.199153,0.008142,105.355423,5.005886,84.380460,4.215874,86.380460,4.215874,86.380460,4.215874,0.000000,0.000000,0.000000,0.000000
0.5,engagement_g05_d5.0,3002.400000,53.895557,252.366667,19.883251,0.084021,0.005918,105.505209,5.744565,96.651197,5.475907,98.651197,5.475907,98.651197,5.475907,0.000000,0.000000,0.000000,0.000000
0.5,naive_target_aware,3002.400000,53.895557,1044.600000,37.091313,0.347859,0.008228,104.947668,4.034103,68.442717,2.812248,70.442717,2.812248,70.442717,2.812248,0.000000,0.000000,0.000000,0.000000
0.5,nearest,3002.400000,53.895557,149.500000,18.271421,0.049778,0.005922,103.473376,7.548251,98.317429,7.123805,100.317429,7.123805,100.317429,7.123805,0.000000,0.000000,0.000000,0.000000
