comparison_type,dominant_peer_ratio,policy_a,policy_b,n_seeds,mean_diff_combined_s,bootstrap_ci95_low,bootstrap_ci95_high,verdict
demand_argmax_vs_best_baseline,0.6,demand_argmax_w5_d10,nearest,30,7.706487,0.083012,15.650682,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d0,nearest,30,-96.227186,-103.881366,-88.577778,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d0.25,nearest,30,-85.683643,-93.535832,-77.782494,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d0.5,nearest,30,-81.332296,-89.150193,-73.507693,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d1,nearest,30,-72.393828,-80.456160,-64.249101,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d2,nearest,30,-53.496382,-61.729161,-45.156482,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d5,nearest,30,-0.866882,-9.963852,8.306754,not_significant
demand_argmax_vs_best_baseline,0.6,demand_argmax_w10_d10,nearest,30,15.221316,7.437926,22.932560,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d0,nearest,30,-56.148320,-64.429112,-47.826433,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d0.25,nearest,30,-43.433860,-52.038166,-34.749581,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d0.5,nearest,30,-38.901068,-47.584839,-30.161937,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d1,nearest,30,-30.049455,-38.934617,-21.143862,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d2,nearest,30,-13.304832,-22.443595,-4.114902,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d5,nearest,30,20.777205,11.732853,29.935679,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w20_d10,nearest,30,16.056382,7.849399,24.254580,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d0,nearest,30,-18.479519,-27.379995,-9.450832,a_cheaper
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d0.25,nearest,30,-8.651170,-17.671631,0.450529,not_significant
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d0.5,nearest,30,-5.364494,-14.434881,3.762039,not_significant
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d1,nearest,30,0.404804,-8.708694,9.612354,not_significant
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d2,nearest,30,10.768090,1.653792,20.016393,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d5,nearest,30,23.065758,14.676542,31.650656,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w30_d10,nearest,30,15.684252,7.124147,24.181789,a_worse
demand_argmax_vs_best_baseline,0.6,demand_argmax_w100_d0,nearest,30,6.140655,-2.427328,14.698481,not_significant
demand_argmax_vs_best_baseline,0.6,demand_argmax_w100_d0.25,nearest,30,7.286695,-1.184165,15.841970,not_significant
demand_argmax_vs_best_baseline,0.6,demand_argmax_w100_d0.5,nearest,30,7.895779,-0.533366,16.441919,not_significant
