phase_duration,seed,policy_id,total_requests,self_service_count,self_service_rate,mean_rtt_remote_ms,mean_rtt_all_ms,measured_mean_latency_ms,predicted_mean_latency_ms,abs_error_ms,rel_error
5.0,4,static,2947,132,0.044791,105.157562,100.447417,102.447417,102.447417,0.000000,0.000000
5.0,4,nearest,2947,137,0.046488,100.177713,95.520657,97.520657,97.520657,0.000000,0.000000
5.0,4,naive_target_aware,2947,1101,0.373600,109.734159,68.737448,70.737448,70.737448,0.000000,0.000000
5.0,4,engagement_g00_d0.0,2947,1101,0.373600,109.734159,68.737448,70.737448,70.737448,0.000000,0.000000
5.0,4,engagement_g00_d0.25,2947,776,0.263319,110.203807,81.185091,83.185091,83.185091,0.000000,0.000000
5.0,4,engagement_g00_d0.5,2947,678,0.230064,110.025874,84.712830,86.712830,86.712830,0.000000,0.000000
5.0,4,engagement_g00_d1.0,2947,511,0.173397,110.424795,91.277503,93.277503,93.277503,0.000000,0.000000
5.0,4,engagement_g00_d2.0,2947,241,0.081778,109.876030,100.890580,102.890580,102.890580,0.000000,0.000000
5.0,4,engagement_g00_d5.0,2947,28,0.009501,110.033002,108.987558,110.987558,110.987558,0.000000,0.000000
5.0,4,engagement_g00_d10.0,2947,126,0.042755,107.146240,102.565165,104.565165,104.565165,0.000000,0.000000
5.0,4,engagement_g05_d0.0,2947,1040,0.352901,109.369162,70.772648,72.772648,72.772648,0.000000,0.000000
5.0,4,engagement_g05_d0.25,2947,768,0.260604,110.201481,81.482534,83.482534,83.482534,0.000000,0.000000
5.0,4,engagement_g05_d0.5,2947,673,0.228368,110.297771,85.109308,87.109308,87.109308,0.000000,0.000000
5.0,4,engagement_g05_d1.0,2947,508,0.172379,110.750199,91.659224,93.659224,93.659224,0.000000,0.000000
5.0,4,engagement_g05_d2.0,2947,240,0.081439,110.400398,101.409527,103.409527,103.409527,0.000000,0.000000
5.0,4,engagement_g05_d5.0,2947,29,0.009841,110.113850,109.030273,111.030273,111.030273,0.000000,0.000000
5.0,4,engagement_g05_d10.0,2947,132,0.044791,105.157562,100.447417,102.447417,102.447417,0.000000,0.000000
5.0,4,oracle_a1,2947,2226,0.755344,32.687117,7.997086,9.997086,9.997086,0.000000,0.000000
5.0,5,static,2961,136,0.045930,106.417247,101.529458,103.529458,103.529458,0.000000,0.000000
5.0,5,nearest,2961,149,0.050321,105.669894,100.352496,102.352496,102.352496,0.000000,0.000000
5.0,5,naive_target_aware,2961,1094,0.369470,109.933511,69.316402,71.316402,71.316402,0.000000,0.000000
5.0,5,engagement_g00_d0.0,2961,1094,0.369470,109.933511,69.316402,71.316402,71.316402,0.000000,0.000000
5.0,5,engagement_g00_d0.25,2961,774,0.261398,109.879166,81.156952,83.156952,83.156952,0.000000,0.000000
5.0,5,engagement_g00_d0.5,2961,650,0.219520,109.888937,85.766070,87.766070,87.766070,0.000000,0.000000
5.0,5,engagement_g00_d1.0,2961,481,0.162445,109.413617,91.639909,93.639909,93.639909,0.000000,0.000000
5.0,5,engagement_g00_d2.0,2961,191,0.064505,107.119899,100.210104,102.210104,102.210104,0.000000,0.000000
5.0,5,engagement_g00_d5.0,2961,40,0.013509,100.821143,99.459155,101.459155,101.459155,0.000000,0.000000
5.0,5,engagement_g00_d10.0,2961,125,0.042215,109.450091,104.829604,106.829604,106.829604,0.000000,0.000000
5.0,5,engagement_g05_d0.0,2961,1020,0.344478,109.725933,71.927739,73.927739,73.927739,0.000000,0.000000
5.0,5,engagement_g05_d0.25,2961,763,0.257683,109.790438,81.499285,83.499285,83.499285,0.000000,0.000000
5.0,5,engagement_g05_d0.5,2961,642,0.216819,109.888273,86.062447,88.062447,88.062447,0.000000,0.000000
5.0,5,engagement_g05_d1.0,2961,478,0.161432,109.042577,91.439621,93.439621,93.439621,0.000000,0.000000
5.0,5,engagement_g05_d2.0,2961,189,0.063830,106.968824,100.141027,102.141027,102.141027,0.000000,0.000000
5.0,5,engagement_g05_d5.0,2961,42,0.014184,103.751002,102.279357,104.279357,104.279357,0.000000,0.000000
5.0,5,engagement_g05_d10.0,2961,136,0.045930,106.417247,101.529458,103.529458,103.529458,0.000000,0.000000
5.0,5,oracle_a1,2961,2222,0.750422,36.744959,9.170728,11.170728,11.170728,0.000000,0.000000
10.0,1,static,3072,163,0.053060,95.296726,90.240291,92.240291,92.240291,0.000000,0.000000
10.0,1,nearest,3072,161,0.052409,98.451809,93.292062,95.292062,95.292062,0.000000,0.000000
10.0,1,naive_target_aware,3072,1903,0.619466,92.137405,35.061402,37.061402,37.061402,0.000000,0.000000
10.0,1,engagement_g00_d0.0,3072,1903,0.619466,92.137405,35.061402,37.061402,37.061402,0.000000,0.000000
10.0,1,engagement_g00_d0.25,3072,1711,0.556966,90.933690,40.286703,42.286703,42.286703,0.000000,0.000000
10.0,1,engagement_g00_d0.5,3072,1630,0.530599,90.933888,42.684462,44.684462,44.684462,0.000000,0.000000
10.0,1,engagement_g00_d1.0,3072,1487,0.484049,90.075142,46.474316,48.474316,48.474316,0.000000,0.000000
10.0,1,engagement_g00_d2.0,3072,1226,0.399089,89.782597,53.951391,55.951391,55.951391,0.000000,0.000000
10.0,1,engagement_g00_d5.0,3072,477,0.155273,88.036144,74.366469,76.366469,76.366469,0.000000,0.000000
10.0,1,engagement_g00_d10.0,3072,24,0.007812,98.381890,97.613281,99.613281,99.613281,0.000000,0.000000
10.0,1,engagement_g05_d0.0,3072,1873,0.609701,91.421594,35.681801,37.681801,37.681801,0.000000,0.000000
10.0,1,engagement_g05_d0.25,3072,1704,0.554688,90.429100,40.269208,42.269208,42.269208,0.000000,0.000000
10.0,1,engagement_g05_d0.5,3072,1625,0.528971,90.296497,42.532237,44.532237,44.532237,0.000000,0.000000
10.0,1,engagement_g05_d1.0,3072,1484,0.483073,89.566039,46.299111,48.299111,48.299111,0.000000,0.000000
10.0,1,engagement_g05_d2.0,3072,1225,0.398763,89.284985,53.681435,55.681435,55.681435,0.000000,0.000000
10.0,1,engagement_g05_d5.0,3072,477,0.155273,87.641409,74.033026,76.033026,76.033026,0.000000,0.000000
10.0,1,engagement_g05_d10.0,3072,18,0.005859,97.414010,96.843225,98.843225,98.843225,0.000000,0.000000
10.0,1,oracle_a1,3072,2460,0.800781,37.712721,7.513081,9.513081,9.513081,0.000000,0.000000
10.0,2,static,3076,159,0.051691,100.928928,95.711860,97.711860,97.711860,0.000000,0.000000
10.0,2,nearest,3076,144,0.046814,90.104026,85.885892,87.885892,87.885892,0.000000,0.000000
10.0,2,naive_target_aware,3076,1915,0.622562,112.395879,42.422502,44.422502,44.422502,0.000000,0.000000
