phase_duration,seed,policy_id,total_requests,mean_latency_ms,p95_latency_ms,migration_count,max_requests_per_peer,request_imbalance
20.0,2,engagement_g00_d0.0,3076,29.479070,170.739348,77,216,1.404421
20.0,2,engagement_g00_d0.25,3076,33.224071,174.628056,75,215,1.397919
20.0,2,engagement_g00_d0.5,3076,34.151322,174.628056,75,214,1.391417
20.0,2,engagement_g00_d1.0,3076,36.405523,174.628056,75,215,1.397919
20.0,2,engagement_g00_d2.0,3076,41.345703,185.085086,75,212,1.378414
20.0,2,engagement_g00_d5.0,3076,53.402860,195.394846,75,210,1.365410
20.0,2,engagement_g00_d10.0,3076,77.604115,198.371029,75,220,1.430429
20.0,2,engagement_g05_d0.0,3076,29.922537,170.998072,77,217,1.410923
20.0,2,engagement_g05_d0.25,3076,33.287911,174.628056,75,215,1.397919
20.0,2,engagement_g05_d0.5,3076,34.215162,174.628056,75,214,1.391417
20.0,2,engagement_g05_d1.0,3076,36.469363,174.628056,75,215,1.397919
20.0,2,engagement_g05_d2.0,3076,41.345703,185.085086,75,212,1.378414
20.0,2,engagement_g05_d5.0,3076,53.402860,195.394846,75,210,1.365410
20.0,2,engagement_g05_d10.0,3076,77.604115,198.371029,75,220,1.430429
20.0,2,oracle_a1,3076,8.800455,52.444865,526,207,1.345904
20.0,3,static,2993,92.971330,181.929805,0,620,4.143000
20.0,3,nearest,2993,93.351507,175.873447,5,1175,7.851654
20.0,3,naive_target_aware,2993,29.463758,156.274024,80,203,1.356498
20.0,3,engagement_g00_d0.0,2993,29.463758,156.274024,80,203,1.356498
20.0,3,engagement_g00_d0.25,2993,32.780542,161.270163,76,197,1.316405
20.0,3,engagement_g00_d0.5,2993,33.621006,162.372017,75,197,1.316405
20.0,3,engagement_g00_d1.0,2993,35.169330,163.819373,75,198,1.323087
20.0,3,engagement_g00_d2.0,2993,39.471902,163.819373,75,206,1.376545
20.0,3,engagement_g00_d5.0,2993,52.812272,169.465924,75,192,1.282994
20.0,3,engagement_g00_d10.0,2993,75.623163,185.560987,75,189,1.262947
20.0,3,engagement_g05_d0.0,2993,29.832742,156.274024,78,204,1.363181
20.0,3,engagement_g05_d0.25,2993,32.870004,161.270163,76,197,1.316405
20.0,3,engagement_g05_d0.5,2993,33.667243,162.880948,75,197,1.316405
20.0,3,engagement_g05_d1.0,2993,35.230660,163.819373,75,198,1.323087
20.0,3,engagement_g05_d2.0,2993,39.471902,163.819373,75,206,1.376545
20.0,3,engagement_g05_d5.0,2993,52.812272,169.465924,75,192,1.282994
20.0,3,engagement_g05_d10.0,2993,75.623163,185.560987,75,189,1.262947
20.0,3,oracle_a1,2993,9.746405,55.796649,492,192,1.282994
20.0,4,static,2947,105.990191,194.177976,0,606,4.112657
20.0,4,nearest,2947,99.559853,189.576396,4,606,4.112657
20.0,4,naive_target_aware,2947,31.609585,168.302374,75,223,1.513403
20.0,4,engagement_g00_d0.0,2947,31.609585,168.302374,75,223,1.513403
20.0,4,engagement_g00_d0.25,2947,35.111142,168.302374,75,226,1.533763
20.0,4,engagement_g00_d0.5,2947,36.233454,169.540587,75,225,1.526977
20.0,4,engagement_g00_d1.0,2947,38.135085,171.177543,75,222,1.506617
20.0,4,engagement_g00_d2.0,2947,41.993677,171.177543,75,216,1.465898
20.0,4,engagement_g00_d5.0,2947,57.342116,184.803272,75,214,1.452324
20.0,4,engagement_g00_d10.0,2947,81.306751,193.368367,75,238,1.615202
20.0,4,engagement_g05_d0.0,2947,32.149906,168.302374,75,223,1.513403
20.0,4,engagement_g05_d0.25,2947,35.111142,168.302374,75,226,1.533763
20.0,4,engagement_g05_d0.5,2947,36.233454,169.540587,75,225,1.526977
20.0,4,engagement_g05_d1.0,2947,38.135085,171.177543,75,222,1.506617
20.0,4,engagement_g05_d2.0,2947,41.993677,171.177543,75,216,1.465898
20.0,4,engagement_g05_d5.0,2947,57.342116,184.803272,75,214,1.452324
20.0,4,engagement_g05_d10.0,2947,81.320797,193.368367,75,238,1.615202
20.0,4,oracle_a1,2947,9.200309,49.553346,553,222,1.506617
20.0,5,static,2961,98.453889,188.688177,0,1225,8.274232
20.0,5,nearest,2961,96.571725,187.743898,6,626,4.228301
20.0,5,naive_target_aware,2961,31.881345,161.395104,77,196,1.323877
20.0,5,engagement_g00_d0.0,2961,31.881345,161.395104,77,196,1.323877
20.0,5,engagement_g00_d0.25,2961,35.555069,173.351378,76,194,1.310368
20.0,5,engagement_g00_d0.5,2961,36.905220,173.351378,76,196,1.323877
20.0,5,engagement_g00_d1.0,2961,39.076554,173.351378,75,192,1.296859
20.0,5,engagement_g00_d2.0,2961,44.060011,179.235817,74,193,1.303614
20.0,5,engagement_g00_d5.0,2961,58.474081,187.323161,74,206,1.391422
20.0,5,engagement_g00_d10.0,2961,81.686087,196.075920,74,224,1.513002
20.0,5,engagement_g05_d0.0,2961,32.633022,164.962424,76,201,1.357649
20.0,5,engagement_g05_d0.25,2961,35.764896,173.351378,75,193,1.303614
20.0,5,engagement_g05_d0.5,2961,37.210177,173.351378,75,193,1.303614
