phase_duration,policy_id,total_requests_mean,total_requests_std,self_service_count_mean,self_service_count_std,self_service_rate_mean,self_service_rate_std,mean_rtt_remote_ms_mean,mean_rtt_remote_ms_std,mean_rtt_all_ms_mean,mean_rtt_all_ms_std,measured_mean_latency_ms_mean,measured_mean_latency_ms_std,predicted_mean_latency_ms_mean,predicted_mean_latency_ms_std,abs_error_ms_mean,abs_error_ms_std,rel_error_mean,rel_error_std
80.0,engagement_g00_d10.0,3009.800000,60.948339,2122.600000,50.446011,0.705212,0.006784,101.322586,9.923240,29.882871,3.213983,31.882871,3.213983,31.882871,3.213983,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g00_d2.0,3009.800000,60.948339,2393.600000,59.154881,0.795235,0.007769,102.378426,7.840913,20.988331,2.171971,22.988331,2.171971,22.988331,2.171971,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g00_d5.0,3009.800000,60.948339,2295.200000,56.992982,0.762542,0.007512,102.151047,8.421533,24.268749,2.360367,26.268749,2.360367,26.268749,2.360367,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d0.0,3009.800000,60.948339,2477.600000,70.914032,0.823077,0.008392,102.648867,7.035277,18.181850,1.839632,20.181850,1.839632,20.181850,1.839632,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d0.25,3009.800000,60.948339,2453.800000,66.518419,0.815188,0.006861,102.706355,6.894765,19.000600,1.766197,21.000600,1.766197,21.000600,1.766197,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d0.5,3009.800000,60.948339,2446.000000,65.707686,0.812602,0.007045,102.670229,7.102942,19.263940,1.886430,21.263940,1.886430,21.263940,1.886430,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d1.0,3009.800000,60.948339,2429.200000,61.058988,0.807048,0.006789,102.513391,7.608190,19.802492,1.977270,21.802492,1.977270,21.802492,1.977270,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d10.0,3009.800000,60.948339,2122.400000,50.545029,0.705144,0.006680,101.329712,9.925080,29.891929,3.213054,31.891929,3.213054,31.891929,3.213054,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d2.0,3009.800000,60.948339,2393.600000,59.154881,0.795235,0.007769,102.378426,7.840913,20.988331,2.171971,22.988331,2.171971,22.988331,2.171971,0.000000,0.000000,0.000000,0.000000
80.0,engagement_g05_d5.0,3009.800000,60.948339,2295.200000,56.992982,0.762542,0.007512,102.151047,8.421533,24.268749,2.360367,26.268749,2.360367,26.268749,2.360367,0.000000,0.000000,0.000000,0.000000
80.0,naive_target_aware,3009.800000,60.948339,2480.800000,69.747401,0.824145,0.007815,102.540927,6.811673,18.050495,1.733999,20.050495,1.733999,20.050495,1.733999,0.000000,0.000000,0.000000,0.000000
80.0,nearest,3009.800000,60.948339,232.400000,64.678435,0.077167,0.021202,96.548581,11.954475,89.128132,11.664788,91.128132,11.664788,91.128132,11.664788,0.000000,0.000000,0.000000,0.000000
80.0,oracle_a1,3009.800000,60.948339,2494.200000,59.327060,0.828678,0.008864,43.756604,3.196468,7.507605,0.836393,9.507605,0.836393,9.507605,0.836393,0.000000,0.000000,0.000000,0.000000
80.0,static,3009.800000,60.948339,139.400000,71.709832,0.046378,0.024173,98.778310,12.463135,94.214608,12.209387,96.214608,12.209387,96.214608,12.209387,0.000000,0.000000,0.000000,0.000000
